[ERROR] [20220422-104042] channel example-channel, path ../share/doc/example-channel, caller ./jockeycall.pl
Yep, that's a valid channel with no configuration errors.
Specify a subcommand if you want me to do something.
[ERROR] [20220422-104401] intermission slot is empty
[ERROR] [20220422-120155] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-120156] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-120200] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-120211] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-121123] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-121240] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123152] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123203] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123204] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123204] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123313] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123437] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123544] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123724] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123815] opendir failed on ../share/doc/example-channel/inte
[ERROR] [20220422-123826] opendir failed on ../share/doc/example-channel/inte
